[00:00:01	][IC] Lorf: Pora pracować.
[13:46:09	]Tomasz Terka exited observer at their location.
[13:46:11	]Tomasz Terka entered observer.
[13:46:42	]Tomasz Terka exited observer at their location.
[13:46:42	]Tomasz Terka entered observer.
[13:46:42	]Tomasz Terka exited observer at their location.
[13:46:45	]Tomasz Terka entered observer.
[13:46:46	]Tomasz Terka exited observer at their location.
[13:47:01	]Tomasz Terka entered observer.
[13:47:02	]Tomasz Terka exited observer at their location.
[13:47:10	]Tomasz Terka used command '/ActSit 1'.
[13:47:16	]Tomasz Terka used command '/ActSit 2'.
[13:47:19	]Tomasz Terka used command '/ActSit 3'.
[13:47:22	]Tomasz Terka used command '/ActSit 6'.
[13:47:27	]Tomasz Terka entered observer.
[13:47:29	]Tomasz Terka exited observer at their location.
[13:47:30	]Tomasz Terka entered observer.
[13:47:41	]Tomasz Terka admin-searched the 'Duża skrzynia' #845 container.
[13:47:41	]Tomasz Terka has used a context menu option with the name: wncontainer_view
[13:47:48	]Tomasz Terka admin-closed the 'Duża skrzynia' #845 container.
[13:47:51	]Tomasz Terka admin-searched the 'Duża skrzynia' #846 container.
[13:47:51	]Tomasz Terka has used a context menu option with the name: wncontainer_view
[13:47:56	]Tomasz Terka admin-closed the 'Duża skrzynia' #846 container.
[13:48:08	]Tomasz Terka exited observer at their location.
[13:48:28	]Tomasz Terka used command '/DoorPrintOwners'.
[13:48:28	]Tomasz Terka entered observer.
[13:48:34	]Tomasz Terka exited observer at their location.
[13:48:35	]Tomasz Terka entered observer.
[13:48:40	]Tomasz Terka exited observer at their location.
[13:48:42	]Tomasz Terka used command '/DoorPrintOwners'.
[13:48:44	]Tomasz Terka entered observer.
[13:48:46	]Tomasz Terka exited observer at their location.
[13:48:48	]Tomasz Terka used command '/DoorPrintOwners'.
[13:49:00	]Tomasz Terka entered observer.
[13:49:04	]Tomasz Terka exited observer at their location.
[13:49:05	]Tomasz Terka entered observer.
[13:49:06	]Tomasz Terka exited observer at their location.
[13:49:06	]Tomasz Terka entered observer.
[13:49:08	]Tomasz Terka exited observer at their location.
[13:49:20	]Tomasz Terka used command '/SetApartmentDoor The Aurora Bar'.
[13:49:28	]Tomasz Terka used command '/SetApartmentDoor Crowbar Corner'.
[13:50:35	]Wenli has unloaded their "Tomasz Terka" character.
[13:50:39	]Wenli loaded the character 'Wenli'
[13:50:40	]Wenli entered observer.
[13:50:42	]Wenli exited observer at their location.
[13:50:45	]Wenli entered observer.
[13:50:56	]Wenli exited observer at their location.
[13:50:59	]Wenli entered observer.
[13:51:03	]Wenli exited observer at their location.
[13:51:05	]Wenli entered observer.
[13:51:07	]Wenli exited observer at their location.
[13:51:08	]Wenli used command '/ActSit 1'.
[13:52:55	]Wenli has unloaded their "Wenli" character.
[13:53:03	]Wenli loaded the character 'Tomasz Terka'
[13:53:06	]Tomasz Terka entered observer.
[13:53:08	]Tomasz Terka exited observer at their location.
[13:53:28	]Tomasz Terka entered observer.
[13:53:30	]Tomasz Terka exited observer at their location.
[13:53:36	]Tomasz Terka used command '/ActSit 1'.
[13:53:40	]Tomasz Terka used command '/ActSit 2'.
[13:53:52	]Tomasz Terka entered observer.
[13:53:54	]Tomasz Terka exited observer at their location.
[13:54:08	]Tomasz Terka was knocked unconscious and is bleeding out.
[13:54:17	]Tomasz Terka ran SAM command 'slay' with arguments: '^'
[13:54:20	]Tomasz Terka entered observer.
[13:54:27	]Tomasz Terka exited observer at their location.
[13:54:48	]Wenli has unloaded their "Tomasz Terka" character.
[13:54:51	]Wenli loaded the character 'Wenli'
[13:57:46	]Wenli entered observer.
[13:59:05	]Wenli exited observer at their location.
[13:59:05	]Wenli entered observer.
[13:59:07	]Wenli exited observer at their location.
[13:59:11	]Wenli has used a context menu option with the name: rb655_door_lock
[13:59:14	]Wenli has used a context menu option with the name: rb655_door_lock
[13:59:16	]Wenli entered observer.
[13:59:50	]Wenli exited observer at their location.
[13:59:51	]Wenli entered observer.
[13:59:56	]Wenli exited observer at their location.
[14:00:26	]Wenli entered observer.
[14:00:29	]Wenli exited observer at their location.
[14:00:33	]Wenli entered observer.
[14:00:35	]Wenli exited observer at their location.
[14:00:49	]Wenli used command '/DoorSetTitle ㅤ'.
[14:01:46	]Wenli used command '/DoorSetHidden The Aurora Bar'.
[14:01:48	]Wenli entered observer.
[14:01:49	]Wenli exited observer at their location.
[14:01:53	]Wenli used command '/DoorSetHidden Crowbar Corner'.
[14:02:00	]Wenli used command '/DoorSetHidden 0'.
[14:02:03	]Wenli entered observer.
[14:02:04	]Wenli exited observer at their location.
[14:02:05	]Wenli entered observer.
[14:02:06	]Wenli exited observer at their location.
[14:02:08	]Wenli used command '/DoorSetHidden 1'.
[14:02:21	]Wenli used command '/DoorSetTitle Crowbar Corner'.
[14:02:23	]Wenli used command '/DoorSetHidden 1'.
[14:02:24	]Wenli entered observer.
[14:02:27	]Wenli exited observer at their location.
[14:02:29	]Wenli used command '/DoorSetHidden 0'.
[14:02:30	]Wenli used command '/DoorSetHidden 1'.
[14:02:31	]Wenli entered observer.
[14:02:33	]Wenli exited observer at their location.
[14:02:34	]Wenli used command '/DoorSetHidden 0'.
[14:02:39	]Wenli used command '/DoorSetHidden 1'.
[14:02:40	]Wenli entered observer.
[14:02:52	]Wenli exited observer at their location.
[14:02:54	]Wenli used command '/DoorSetHidden 0'.
[14:02:55	]Wenli used command '/DoorSetHidden 1'.
[14:02:57	]Wenli used command '/DoorSetHidden 0'.
[14:02:58	]Wenli used command '/DoorSetHidden 1'.
[14:02:59	]Wenli entered observer.
[14:03:25	]Wenli admin-searched the 'Duża metalowa szafa' #872 container.
[14:03:25	]Wenli has used a context menu option with the name: wncontainer_view
[14:03:31	]Wenli admin-closed the 'Duża metalowa szafa' #872 container.
[14:03:32	]Wenli admin-searched the 'Duża metalowa szafa' #871 container.
[14:03:32	]Wenli has used a context menu option with the name: wncontainer_view
[14:03:35	]Wenli admin-closed the 'Duża metalowa szafa' #871 container.
[14:03:36	]Wenli admin-searched the 'Duża metalowa szafa' #870 container.
[14:03:36	]Wenli has used a context menu option with the name: wncontainer_view
[14:03:49	]Wenli admin-closed the 'Duża metalowa szafa' #870 container.
[14:04:14	]Wenli exited observer at their location.
[14:04:17	]Wenli used command '/DoorSetHidden 1'.
[14:04:19	]Wenli entered observer.
[14:04:21	]Wenli exited observer at their location.
[14:04:25	]Wenli entered observer.
[14:04:30	]Wenli admin-searched the 'Duża metalowa szafa' #943 container.
[14:04:30	]Wenli has used a context menu option with the name: wncontainer_view
[14:04:32	]Wenli admin-closed the 'Duża metalowa szafa' #943 container.
[14:04:34	]Wenli admin-searched the 'Duża metalowa szafa' #935 container.
[14:04:34	]Wenli has used a context menu option with the name: wncontainer_view
[14:04:45	]Wenli admin-closed the 'Duża metalowa szafa' #935 container.
[14:04:46	]Wenli admin-searched the 'Duża metalowa szafa' #936 container.
[14:04:46	]Wenli has used a context menu option with the name: wncontainer_view
[14:04:48	]Wenli admin-closed the 'Duża metalowa szafa' #936 container.
[14:04:49	]Wenli admin-searched the 'Duża metalowa szafa' #937 container.
[14:04:49	]Wenli has used a context menu option with the name: wncontainer_view
[14:04:53	]Wenli admin-closed the 'Duża metalowa szafa' #937 container.
[14:06:17	]Wenli exited observer at their location.
[14:06:20	]Wenli entered observer.
[14:06:22	]Wenli exited observer at their location.
[14:07:41	]Wenli has set a prop description: 'Koszyk' - 'W środku znajdują się brudne, zakurzone ścierki...'.
[14:07:41	]Wenli used command '/PermanentPropDescriptionAdd Koszyk W środku znajdują się brudne, zakurzone ścierki...'.
[14:07:49	]Wenli entered observer.
[14:08:05	]Wenli exited observer at their location.
[14:08:10	]Wenli entered observer.
[14:08:56	]Wenli exited observer at their location.
[14:08:57	]Wenli entered observer.
[14:09:45	]Wenli exited observer at their location.
[14:09:49	]Wenli entered observer.
[14:09:50	]Wenli exited observer at their location.
[14:10:02	]Wenli entered observer.
[14:10:04	]Wenli exited observer at their location.
[14:10:05	]Wenli entered observer.
[14:10:45	]Wenli exited observer at their location.
[14:10:46	]Wenli entered observer.
[14:11:07	]Wenli exited observer at their location.
[14:11:24	]Wenli entered observer.
[14:11:25	]Wenli exited observer at their location.
[14:11:28	]Wenli entered observer.
[14:11:40	]Wenli exited observer at their location.
[14:11:40	]Wenli entered observer.
[14:11:41	]Wenli exited observer at their location.
[14:11:41	]Wenli entered observer.
[14:12:27	]Wenli exited observer at their location.
[14:12:59	]Wenli entered observer.
[14:13:03	]Wenli exited observer at their location.
[14:13:03	]Wenli entered observer.
[14:13:04	]Wenli exited observer at their location.
[14:13:05	]Wenli entered observer.
[14:13:09	]Wenli exited observer at their location.
[14:13:10	]Wenli entered observer.
[14:13:10	]Wenli exited observer at their location.
[14:13:11	]Wenli entered observer.
[14:13:12	]Wenli exited observer at their location.
[14:13:13	]Wenli entered observer.
[14:13:16	]Wenli exited observer at their location.
[14:13:16	]Wenli entered observer.
[14:13:19	]Wenli exited observer at their location.
[14:14:24	]Wenli entered observer.
[14:14:25	]Wenli exited observer at their location.
[14:14:38	]Wenli has unloaded their "Wenli" character.
[14:14:41	]Wenli loaded the character 'Tomasz Terka'
[14:14:43	]Tomasz Terka entered observer.
[14:14:45	]Tomasz Terka exited observer at their location.
[14:15:09	]Tomasz Terka entered observer.
[14:15:10	]Tomasz Terka exited observer at their location.
[14:15:14	]Tomasz Terka used command '/ActSit 1'.
[14:15:24	]Tomasz Terka entered observer.
[14:15:28	]Tomasz Terka exited observer at their location.
[14:15:35	]Tomasz Terka entered observer.
[14:15:37	]Tomasz Terka exited observer at their location.
[14:15:49	]Tomasz Terka entered observer.
[14:15:52	]Tomasz Terka exited observer at their location.
[14:16:34	]Wenli has unloaded their "Tomasz Terka" character.
[14:16:37	]Wenli loaded the character 'Wenli'
[14:16:43	]Wenli has spawned a 'Entity [1851][ix_pickupterminal]'.
[14:16:55	]Wenli entered observer.
[14:17:01	]Wenli exited observer at their location.
[14:17:10	]Wenli entered observer.
[14:17:14	]Wenli exited observer at their location.
[14:17:19	]Wenli entered observer.
[14:17:27	]Wenli exited observer at their location.
[14:17:29	]Wenli opened the 'Personalny Schowek 625' stash.
[14:17:31	]Wenli closed the 'Personalny Schowek 625' stash.
[14:17:43	]Wenli entered observer.
[14:17:54	]Wenli exited observer at their location.
[14:18:11	]Wenli entered observer.
[14:18:27	]Wenli exited observer at their location.
[14:19:09	]Wenli entered observer.
[14:19:09	]Wenli exited observer at their location.
[14:19:23	]Wenli entered observer.
[14:19:25	]Wenli exited observer at their location.
[14:19:28	]Wenli entered observer.
[14:19:29	]Wenli exited observer at their location.
[14:21:49	][INFESTATION] Wenli (STEAM_0:1:86169246)  has entered Infestation Edit Mode.
[14:21:49	]Wenli used command '/InfestationEdit'.
[14:21:52	][INFESTATION] Wenli (STEAM_0:1:86169246) has exited Infestation Edit Mode.
[14:23:20	]Wenli entered observer.
[14:23:32	]Wenli exited observer at their location.
[14:23:32	]Wenli entered observer.
[14:24:02	]Wenli exited observer at their location.
[14:24:05	]Wenli entered observer.
[14:24:07	]Wenli exited observer at their location.
[14:24:07	]Wenli entered observer.
[14:24:14	]Wenli exited observer at their location.
[14:24:15	]Wenli entered observer.
[14:24:15	]Wenli exited observer at their location.
[14:24:20	]Wenli entered observer.
[14:24:21	]Wenli exited observer at their location.
[14:24:22	]Wenli entered observer.
[14:24:24	]Wenli exited observer at their location.
[14:24:24	]Wenli entered observer.
[14:24:26	]Wenli exited observer at their location.
[14:24:26	]Wenli entered observer.
[14:24:37	]Wenli exited observer at their location.
[14:24:39	]Wenli entered observer.
[14:24:40	]Wenli exited observer at their location.
[14:24:43	]Wenli entered observer.
[14:24:45	]Wenli exited observer at their location.
[14:24:45	]Wenli entered observer.
[14:24:47	]Wenli exited observer at their location.
[14:25:07	]Wenli entered observer.
[14:25:20	]Wenli exited observer at their location.
[14:25:25	]Wenli entered observer.
[14:25:26	]Wenli exited observer at their location.
[14:25:26	]Wenli entered observer.
[14:26:02	]Wenli exited observer at their location.
[14:26:33	]Wenli entered observer.
[14:26:34	]Wenli exited observer at their location.
[14:26:47	]Wenli entered observer.
[14:26:52	]Wenli exited observer at their location.
[14:26:53	]Wenli entered observer.
[14:26:55	]Wenli exited observer at their location.
[14:27:00	]Wenli entered observer.
[14:27:01	]Wenli exited observer at their location.
[14:27:03	]Wenli entered observer.
[14:27:06	]Wenli exited observer at their location.
[14:27:27	]Wenli has unloaded their "Wenli" character.
[14:27:31	]Wenli loaded the character 'Pierre Blum'
[14:28:18	]Pierre Blum entered observer.
[14:28:25	]Pierre Blum exited observer at their location.
[14:28:33	]Pierre Blum entered observer.
[14:28:34	]Pierre Blum exited observer at their location.
[14:28:35	]Pierre Blum entered observer.
[14:28:40	]Pierre Blum exited observer at their location.
[14:28:41	]Pierre Blum entered observer.
[14:28:42	]Pierre Blum exited observer at their location.
[14:28:52	]Pierre Blum entered observer.
[14:28:53	]Pierre Blum exited observer at their location.
[14:28:56	]Pierre Blum entered observer.
[14:29:00	]Pierre Blum exited observer at their location.
[14:29:05	]Pierre Blum entered observer.
[14:29:06	]Pierre Blum exited observer at their location.
[14:29:27	]Pierre Blum entered observer.
[14:29:29	]Pierre Blum exited observer at their location.
[14:29:30	]Pierre Blum entered observer.
[14:29:31	]Pierre Blum exited observer at their location.
[14:29:31	]Pierre Blum entered observer.
[14:29:33	]Pierre Blum exited observer at their location.
[14:29:42	]Wenli has unloaded their "Pierre Blum" character.
[14:29:49	]Wenli created the character 'S10:SCN-5'
[14:29:49	]Wenli loaded the character 'S10:SCN-5'
[14:29:53	]S10:SCN-5 used command '/SC CCG'.
[14:29:56	]S10:SCN-5 used command '/SC MOC'.
[14:29:59	]S10:SCN-5 used command '/SC moc'.
[14:30:03	]S10:SCN-5 used command '/Radio test'.
[14:30:04	]S10:SCN-5 used command '/Radio MOC'.
[14:30:07	]S10:SCN-5 used command '/SC MOC'.
[14:30:08	][IC] S10:SCN-5: Test.
[14:30:09	]S10:SCN-5 used command '/Radio test'.
[14:30:31	]S10:SCN-5 used command '/SC tac-3'.
[14:30:35	]S10:SCN-5 used command '/Radio TAC-3'.
[14:30:48	]S10:SCN-5 used command '/SC CWU'.
[14:30:51	]S10:SCN-5 used command '/SC cwu'.
[14:31:03	]Wenli has unloaded their "S10:SCN-5" character.
[14:31:09	]Wenli loaded the character 'Wenli'
[14:31:13	]Wenli entered observer.
[14:31:13	]Wenli exited observer at their location.
[14:31:17	]Wenli entered observer.
[14:31:24	]Wenli exited observer at their location.
[14:31:28	]Wenli entered observer.
[14:31:34	]Wenli exited observer at their location.
[14:31:35	]Wenli entered observer.
[14:31:35	]Wenli exited observer at their location.
[14:31:36	]Wenli entered observer.
[14:31:37	]Wenli exited observer at their location.
[14:31:38	]Wenli entered observer.
[14:31:39	]Wenli exited observer at their location.
[14:31:39	]Wenli entered observer.
[14:31:40	]Wenli exited observer at their location.
[14:31:41	]Wenli entered observer.
[14:31:43	]Wenli exited observer at their location.
[14:31:46	]Wenli entered observer.
[14:31:46	]Wenli exited observer at their location.
[14:31:50	]Wenli entered observer.
[14:32:10	]Wenli used command '/UnStuck'.
[14:32:15	]Wenli used command ' /UnStuck powodem do korzystania z niego było: a'.
[14:32:18	]Wenli entered observer.
[14:32:31	]Wenli exited observer at their location.
[14:32:43	]Wenli used command '/ActSit 1'.
[14:33:04	]Wenli has unloaded their "Wenli" character.
[14:33:08	]Wenli loaded the character 'Tomasz Terka'
[14:33:11	]Wenli has unloaded their "Tomasz Terka" character.
[14:33:14	]Wenli loaded the character 'Wenli'
[14:33:23	]Wenli has spawned 'models/props_c17/chair02a.mdl'.
[14:33:27	]Wenli used command '/ActSit 3'.
[14:34:01	]Wenli has unloaded their "Wenli" character.
[14:34:04	]Wenli loaded the character 'Tomasz Terka'
[14:34:09	]Tomasz Terka used command '/ActSit 2'.
[14:34:11	]Wenli has unloaded their "Tomasz Terka" character.
[14:34:14	]Wenli loaded the character 'Tomasz Terka'
[14:34:21	]Wenli has unloaded their "Tomasz Terka" character.
[14:34:26	]Wenli loaded the character 'Wenli'
[14:34:36	]Wenli used command '/ActSit 4'.
[14:34:41	]Wenli has unloaded their "Wenli" character.
[14:34:44	]Wenli loaded the character 'Tomasz Terka'
[14:34:47	]Tomasz Terka used command '/ActSit 4'.
[14:34:48	]Tomasz Terka used command '/ExitAct'.
[14:34:55	]Tomasz Terka used command '/ActSit 4'.
[14:34:56	]Tomasz Terka used command '/ExitAct'.
[14:35:11	]Wenli has unloaded their "Tomasz Terka" character.
[14:35:14	]Wenli loaded the character 'Wenli'
[14:35:27	]Wenli has disabled persistence for 'models/props_c17/furnituretable001a.mdl'.
[14:35:27	]Wenli has used a context menu option with the name: persist_end
[14:35:29	]Wenli has enabled persistence for 'models/props_c17/furnituretable001a.mdl'.
[14:35:29	]Wenli has used a context menu option with the name: persist
[14:35:31	]Wenli has fired a toolgun with the name: sh_persist
[14:35:31	]Wenli has disabled persistence for 'models/props_c17/furnituretable001a.mdl'.
[14:36:01	]Wenli has unloaded their "Wenli" character.
[14:36:20	]Wenli loaded the character 'Tomasz Terka'
[14:36:24	]Tomasz Terka used command '/ActSit 2'.
[14:36:31	]Wenli has unloaded their "Tomasz Terka" character.
[14:36:35	]Wenli loaded the character 'Wenli'
[14:36:44	]Wenli has used a context menu option with the name: remove
[14:37:28	]Wenli has fired a toolgun with the name: sh_persist
[14:37:28	]Wenli has enabled persistence for 'models/props_c17/furnituretable001a.mdl'.
[14:37:31	]Wenli entered observer.
[14:37:35	]Wenli exited observer at their location.
[14:37:35	]Wenli entered observer.
[14:38:33	]Wenli exited observer at their location.
[14:38:37	]Wenli entered observer.
[14:38:38	]Wenli exited observer at their location.
[14:38:38	]Wenli entered observer.
[14:38:47	]Wenli exited observer at their location.
[14:39:01	]Wenli entered observer.
[14:39:04	]Wenli exited observer at their location.
[14:39:04	]Wenli entered observer.
[14:39:05	]Wenli exited observer at their location.
[14:39:11	]Wenli entered observer.
[14:40:06	]Wenli exited observer at their location.
[14:40:14	]Wenli has unloaded their "Wenli" character.
[14:40:18	]Wenli loaded the character 'Tomasz Terka'
[14:40:22	]Tomasz Terka entered observer.
[14:40:26	]Tomasz Terka exited observer at their location.
[14:40:28	]Tomasz Terka used command '/ActSit 1'.
[14:40:28	]Tomasz Terka used command '/ExitAct'.
[14:40:31	]Tomasz Terka used command '/ActSit 2'.
[14:40:31	]Tomasz Terka used command '/ExitAct'.
[14:40:33	]Tomasz Terka used command '/ActSit 2'.
[14:40:33	]Tomasz Terka used command '/ExitAct'.
[14:40:37	]Tomasz Terka used command '/ActSit 2'.
[14:40:38	]Tomasz Terka used command '/ExitAct'.
[14:40:43	]Tomasz Terka used command '/ActSit 2'.
[14:40:44	]Tomasz Terka used command '/ExitAct'.
[14:40:45	]Tomasz Terka used command '/ActSit 1'.
[14:40:46	]Tomasz Terka used command '/ExitAct'.
[14:40:55	]Tomasz Terka used command '/ActSit 3'.
[14:40:56	]Tomasz Terka used command '/ExitAct'.
[14:40:57	]Tomasz Terka used command '/ActSit 2'.
[14:40:58	]Tomasz Terka used command '/ExitAct'.
[14:41:01	]Tomasz Terka used command '/ActSit 2'.
[14:41:02	]Tomasz Terka used command '/ExitAct'.
[14:41:03	]Tomasz Terka used command '/ActSit 2'.
[14:41:04	]Tomasz Terka used command '/ExitAct'.
[14:41:06	]Tomasz Terka used command '/ActSit 2'.
[14:41:07	]Tomasz Terka used command '/ExitAct'.
[14:41:09	]Tomasz Terka used command '/ActSit 2'.
[14:41:09	]Tomasz Terka used command '/ExitAct'.
[14:41:11	]Tomasz Terka used command '/ActSit 2'.
[14:41:12	]Tomasz Terka used command '/ExitAct'.
[14:41:15	]Tomasz Terka used command '/ActSit 2'.
[14:41:15	]Tomasz Terka used command '/ExitAct'.
[14:41:17	]Tomasz Terka used command '/ActSit 2'.
[14:41:19	]Tomasz Terka used command '/ExitAct'.
[14:41:23	]Tomasz Terka used command '/ActSit 2'.
[14:41:23	]Tomasz Terka used command '/ExitAct'.
[14:41:25	]Tomasz Terka used command '/ActSit 2'.
[14:41:25	]Tomasz Terka used command '/ExitAct'.
[14:41:34	]Tomasz Terka entered observer.
[14:41:44	]Tomasz Terka exited observer at their location.
[14:41:48	]Tomasz Terka entered observer.
[14:42:03	]Tomasz Terka exited observer at their location.
[14:42:28	]Tomasz Terka entered observer.
[14:42:41	]Tomasz Terka exited observer at their location.
[14:42:44	]Tomasz Terka entered observer.
[14:42:45	]Tomasz Terka exited observer at their location.
[14:42:47	]Tomasz Terka entered observer.
[14:42:49	]Tomasz Terka exited observer at their location.
[14:42:52	]Tomasz Terka entered observer.
[14:42:59	]Tomasz Terka exited observer at their location.
[14:43:10	]Tomasz Terka entered observer.
[14:43:12	]Tomasz Terka exited observer at their location.
[14:43:13	]Tomasz Terka entered observer.
[14:43:15	]Tomasz Terka exited observer at their location.
[14:43:15	]Tomasz Terka entered observer.
[14:43:15	]Tomasz Terka exited observer at their location.
[14:43:16	]Tomasz Terka entered observer.
[14:43:17	]Tomasz Terka exited observer at their location.
[14:43:35	]Tomasz Terka entered observer.
[14:43:36	]Tomasz Terka exited observer at their location.
[14:43:38	]Tomasz Terka entered observer.
[14:43:51	]Tomasz Terka exited observer at their location.
[14:43:53	]Tomasz Terka entered observer.
[14:44:02	]Tomasz Terka exited observer at their location.
[14:44:03	]Tomasz Terka entered observer.
[14:44:07	]Tomasz Terka exited observer at their location.
[14:44:51	]Tomasz Terka entered observer.
[14:45:26	]Tomasz Terka exited observer at their location.
[14:45:26	]Tomasz Terka entered observer.
[14:45:27	]Tomasz Terka exited observer at their location.
[14:45:28	]Tomasz Terka entered observer.
[14:45:44	]Tomasz Terka exited observer at their location.
[14:45:56	]Tomasz Terka entered observer.
[14:46:40	]Tomasz Terka exited observer at their location.
[14:46:40	]Tomasz Terka entered observer.
[14:46:43	]Tomasz Terka exited observer at their location.
[14:46:43	]Tomasz Terka entered observer.
[14:49:17	]Tomasz Terka exited observer at their location.
[14:49:20	]Tomasz Terka used command '/ActSit 2'.
[14:49:20	]Tomasz Terka used command '/ExitAct'.
