[14:15:56	]Commissar_Krieger s'est connecté.
[14:21:25	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:21:27	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:06	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:07	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:27	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:27	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:28	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:28	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:29	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:29	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:34	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:36	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:39	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:39	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:41	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:42	]C13:i3.UNION-23 a activé le mode observateur.
[14:22:44	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:22:47	]C13:i3.UNION-23 a activé le mode observateur.
[14:23:36	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:23:38	]C13:i3.UNION-23 a activé le mode observateur.
[14:23:50	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:23:51	]C13:i3.UNION-23 a activé le mode observateur.
[14:24:08	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:24:11	]C13:i3.UNION-23 a activé le mode observateur.
[14:24:13	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:24:14	]C13:i3.UNION-23 a activé le mode observateur.
[14:24:24	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:24:27	]C13:i3.UNION-23 a activé le mode observateur.
[14:25:00	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:25:02	]C13:i3.UNION-23 a activé le mode observateur.
[14:25:10	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:25:10	]C13:i3.UNION-23 a activé le mode observateur.
[14:25:58	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:25:58	]C13:i3.UNION-23 a activé le mode observateur.
[14:25:58	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:01	]C13:i3.UNION-23 a activé le mode observateur.
[14:26:01	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:02	]C13:i3.UNION-23 a activé le mode observateur.
[14:26:03	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:04	]C13:i3.UNION-23 a activé le mode observateur.
[14:26:04	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:05	]C13:i3.UNION-23 a activé le mode observateur.
[14:26:08	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:09	]C13:i3.UNION-23 a activé le mode observateur.
[14:26:18	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:19	]C13:i3.UNION-23 a activé le mode observateur.
[14:26:19	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:22	]C13:i3.UNION-23 a activé le mode observateur.
[14:26:24	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:26:26	]C13:i3.UNION-23 a activé le mode observateur.
[14:27:37	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:27:38	]C13:i3.UNION-23 a activé le mode observateur.
[14:27:39	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:27:39	]C13:i3.UNION-23 a activé le mode observateur.
[14:27:41	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:27:44	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:04	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:04	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:04	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:05	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:06	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:06	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:14	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:18	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:19	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:20	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:21	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:21	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:47	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:49	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:51	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:52	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:55	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:28:55	]C13:i3.UNION-23 a activé le mode observateur.
[14:28:59	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:29:01	]C13:i3.UNION-23 a activé le mode observateur.
[14:29:24	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:29:26	]C13:i3.UNION-23 a activé le mode observateur.
[14:30:07	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:30:08	]C13:i3.UNION-23 a activé le mode observateur.
[14:30:26	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:30:27	]C13:i3.UNION-23 a activé le mode observateur.
[14:30:45	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:30:47	]C13:i3.UNION-23 a activé le mode observateur.
[14:30:53	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:30:55	]C13:i3.UNION-23 a activé le mode observateur.
[14:31:08	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:31:09	]C13:i3.UNION-23 a activé le mode observateur.
[14:31:28	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:31:30	]C13:i3.UNION-23 a activé le mode observateur.
[14:31:35	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:31:38	]C13:i3.UNION-23 a activé le mode observateur.
[14:31:39	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:31:40	]C13:i3.UNION-23 a activé le mode observateur.
[14:31:43	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:31:47	]C13:i3.UNION-23 a activé le mode observateur.
[14:32:27	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:32:30	]C13:i3.UNION-23 a activé le mode observateur.
[14:32:31	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:32:32	]C13:i3.UNION-23 a activé le mode observateur.
[14:32:33	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:32:37	]C13:i3.UNION-23 a activé le mode observateur.
[14:32:41	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:32:43	]C13:i3.UNION-23 a activé le mode observateur.
[14:32:50	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:32:53	]C13:i3.UNION-23 a activé le mode observateur.
[14:33:15	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:33:18	]C13:i3.UNION-23 a activé le mode observateur.
[14:33:19	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:33:28	]C13:i3.UNION-23 a activé le mode observateur.
[14:33:31	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:33:33	]C13:i3.UNION-23 a activé le mode observateur.
[14:35:41	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:35:44	]C13:i3.UNION-23 a activé le mode observateur.
[14:35:49	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:35:52	]C13:i3.UNION-23 a activé le mode observateur.
[14:35:52	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:35:53	]C13:i3.UNION-23 a activé le mode observateur.
[14:35:57	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:35:58	]C13:i3.UNION-23 a activé le mode observateur.
[14:35:58	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:01	]C13:i3.UNION-23 a activé le mode observateur.
[14:36:09	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:11	]C13:i3.UNION-23 a activé le mode observateur.
[14:36:12	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:12	]C13:i3.UNION-23 a activé le mode observateur.
[14:36:13	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:13	]C13:i3.UNION-23 a activé le mode observateur.
[14:36:14	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:15	]C13:i3.UNION-23 a activé le mode observateur.
[14:36:26	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:27	]C13:i3.UNION-23 a activé le mode observateur.
[14:36:29	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:33	]C13:i3.UNION-23 a activé le mode observateur.
[14:36:34	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:36:38	]C13:i3.UNION-23 a activé le mode observateur.
[14:37:13	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:37:50	]C13:i3.UNION-23 a activé le mode observateur.
[14:38:03	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:38:04	]C13:i3.UNION-23 a activé le mode observateur.
[14:38:47	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:38:47	]C13:i3.UNION-23 a activé le mode observateur.
[14:38:48	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:38:51	]C13:i3.UNION-23 a activé le mode observateur.
[14:38:52	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:38:53	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:08	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:09	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:11	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:13	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:13	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:14	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:15	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:16	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:20	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:21	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:22	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:23	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:23	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:25	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:25	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:26	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:27	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:27	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:28	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:29	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:31	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:33	]C13:i3.UNION-23 a activé le mode observateur.
[14:39:45	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:39:47	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:37	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:37	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:38	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:38	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:39	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:39	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:40	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:41	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:42	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:43	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:44	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:47	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:47	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:49	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:54	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:56	]C13:i3.UNION-23 a activé le mode observateur.
[14:40:56	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:40:57	]C13:i3.UNION-23 a activé le mode observateur.
[14:41:20	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:41:21	]C13:i3.UNION-23 a activé le mode observateur.
[14:41:25	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:41:28	]C13:i3.UNION-23 a activé le mode observateur.
[14:41:29	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:41:30	]C13:i3.UNION-23 a activé le mode observateur.
[14:41:48	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:41:49	]C13:i3.UNION-23 a activé le mode observateur.
[14:41:51	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:41:52	]C13:i3.UNION-23 a activé le mode observateur.
[14:41:54	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:41:56	]C13:i3.UNION-23 a activé le mode observateur.
[14:42:58	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:43:01	]C13:i3.UNION-23 a activé le mode observateur.
[14:43:01	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:43:02	]C13:i3.UNION-23 a activé le mode observateur.
[14:43:02	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:43:03	]C13:i3.UNION-23 a activé le mode observateur.
[14:43:04	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:43:05	]C13:i3.UNION-23 a activé le mode observateur.
[14:43:05	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:43:08	]C13:i3.UNION-23 a activé le mode observateur.
[14:43:09	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:43:10	]C13:i3.UNION-23 a activé le mode observateur.
[14:43:14	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:43:17	]C13:i3.UNION-23 a activé le mode observateur.
[14:43:57	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:44:00	]C13:i3.UNION-23 a activé le mode observateur.
[14:44:04	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:44:07	]C13:i3.UNION-23 a activé le mode observateur.
[14:44:08	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:44:09	]C13:i3.UNION-23 a activé le mode observateur.
[14:44:09	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:44:10	]C13:i3.UNION-23 a activé le mode observateur.
[14:44:10	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:44:10	]C13:i3.UNION-23 a activé le mode observateur.
[14:44:11	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:44:12	]C13:i3.UNION-23 a activé le mode observateur.
[14:45:00	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:45:02	]C13:i3.UNION-23 a activé le mode observateur.
[14:45:48	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:45:49	]C13:i3.UNION-23 a activé le mode observateur.
[14:45:51	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:45:55	]C13:i3.UNION-23 a activé le mode observateur.
[14:46:19	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:46:21	]C13:i3.UNION-23 a activé le mode observateur.
[14:46:49	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:46:52	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:18	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:20	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:28	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:29	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:29	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:30	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:40	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:43	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:45	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:49	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:52	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:53	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:53	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:55	]C13:i3.UNION-23 a activé le mode observateur.
[14:47:55	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:47:58	]C13:i3.UNION-23 a activé le mode observateur.
[14:48:00	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:48:01	]C13:i3.UNION-23 a activé le mode observateur.
[14:49:00	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:49:02	]C13:i3.UNION-23 a activé le mode observateur.
[14:49:03	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:49:04	]C13:i3.UNION-23 a activé le mode observateur.
[14:49:06	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:49:06	]C13:i3.UNION-23 a activé le mode observateur.
[14:49:06	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:49:08	]C13:i3.UNION-23 a activé le mode observateur.
[14:49:24	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:49:25	]C13:i3.UNION-23 a activé le mode observateur.
[14:49:35	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:49:38	]C13:i3.UNION-23 a activé le mode observateur.
[14:50:19	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:50:20	]C13:i3.UNION-23 a activé le mode observateur.
[14:50:20	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:50:20	]C13:i3.UNION-23 a activé le mode observateur.
[14:50:21	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:50:22	]C13:i3.UNION-23 a activé le mode observateur.
[14:50:22	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:50:25	]C13:i3.UNION-23 a activé le mode observateur.
[14:50:37	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:50:39	]C13:i3.UNION-23 a activé le mode observateur.
[14:50:49	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:50:50	]C13:i3.UNION-23 a activé le mode observateur.
[14:50:52	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:50:53	]C13:i3.UNION-23 a activé le mode observateur.
[14:53:25	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:53:26	]C13:i3.UNION-23 a activé le mode observateur.
[14:53:31	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:53:33	]C13:i3.UNION-23 a activé le mode observateur.
[14:54:32	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:54:33	]C13:i3.UNION-23 a activé le mode observateur.
[14:54:34	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:54:35	]C13:i3.UNION-23 a activé le mode observateur.
[14:54:36	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:54:37	]C13:i3.UNION-23 a activé le mode observateur.
[14:54:38	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:54:40	]C13:i3.UNION-23 a activé le mode observateur.
[14:54:40	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:54:42	]C13:i3.UNION-23 a activé le mode observateur.
[14:54:54	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:54:54	]C13:i3.UNION-23 a activé le mode observateur.
[14:55:41	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:55:44	]C13:i3.UNION-23 a activé le mode observateur.
[14:55:47	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:55:47	]C13:i3.UNION-23 a ouvert le stockage 'Caisse en bois' #10520.
[14:55:50	]C13:i3.UNION-23 a fermé le stockage 'Caisse en bois' #10520.
[14:55:51	]C13:i3.UNION-23 a activé le mode observateur.
[14:55:58	]Commissar_Krieger (STEAM_0:1:221347812) s'est déconnecté.
[18:09:39	]Garet s'est connecté.
[18:10:32	]Garet chargé le personnage 'Garet'
[18:10:42	]Garet a activé le mode observateur.
[18:10:59	]Garet a désactivé le mode observateur à son point d'origine.
[18:11:05	]Garet a activé le mode observateur.
[18:11:07	]Garet a désactivé le mode observateur à son point d'origine.
[18:11:16	]Garet a défini le stockage 'Caisse en bois' sur privé, détenu par '10520'.
[18:11:16	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setprivate
[18:11:21	]Garet a défini le mot de passe du stockage sur 'Caisse en bois' (#10520).
[18:11:21	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_setpassword
[18:11:24	]Garet a défini le stockage 'Caisse en bois' sur privé, détenu par '10519'.
