[09:24:00	]doctor sex has connected.
[09:44:06	][IC] C24:i5.UNION-11: <:: Sivil, benimle gel. ::>
[09:44:08	][LOOC] John Freeman: görev ver
[09:44:11	][IC] John Freeman: Tamam.
[09:44:35	][ME] C24:i5.UNION-11: Destek masasının çekmecesinden sokak temizliği için gerekli olan araç gereçleri içeren bir kovayı eline alır ve sivile uzatır
[09:44:47	][ME] John Freeman: alır
[09:45:15	][IC] C24:i5.UNION-11: <:: Burdaki çöp yığınını temizle. ::>
[09:45:20	][IC] John Freeman: Tamam.
[09:45:25	]John Freeman used command '/ActCheck'.
[09:45:27	]C24:i5.UNION-11 used command '/ActStand 4'.
[09:45:41	][ME] John Freeman: eğilip çöpü küreğin içine süpürmeye başlar
[09:45:45	][LOOC] C24:i5.UNION-11: wonder gelebilirmiş sunucuya
[09:45:54	][LOOC] John Freeman: ben çağırdım
[09:46:02	][LOOC] C24:i5.UNION-11: teşekkürler
[09:46:12	][ME] John Freeman: 1/3
[09:46:14	]C24:i5.UNION-11 ran 'combine' on item '17rnd Usp-Şarjörü' (#21759)
[09:46:17	][ME] John Freeman: 2/3
[09:46:26	][ME] John Freeman: 3/3
[09:46:26	]John Freeman used command '/ExitAct'.
[09:46:30	]C24:i5.UNION-11 has used a context menu option with the name: remove
[09:46:31	]C24:i5.UNION-11 used command '/ExitAct'.
[09:46:36	][IC] C24:i5.UNION-11: <:: Pekala, benimle gel. ::>
[09:47:05	][IC] C24:i5.UNION-11: <:: Kovanı ver. ::>
[09:47:14	][ME] John Freeman: kovayı uzatır
[09:47:21	][ME] C24:i5.UNION-11: Kovayı destek masası çekmecesine koyar
[09:48:04	][IC] C24:i5.UNION-11: <:: Sizi tebrik ederim. ::>
[09:48:09	][IC] John Freeman: ?
[09:48:23	][IC] C24:i5.UNION-11: <:: 90 Sosyal Krediye ulaştınız ve işbirlikçi olma yolunuzda ilk adımı attınız. ::>
[09:48:28	][IC] C24:i5.UNION-11: <:: Gri kol bandınızı verin. ::>
[09:48:32	][IC] John Freeman: Güzel.
[09:48:35	]John Freeman ran 'EquipUn' on item 'Açık Gri Kol Bandı' (#8037)
[09:48:36	]John Freeman ran 'drop' on item 'Açık Gri Kol Bandı' (#8037)
[09:48:36	]John Freeman has lost a 'Açık Gri Kol Bandı' #8037.
[09:48:39	]C24:i5.UNION-11 ran 'take' on item 'Açık Gri Kol Bandı' (#8037)
[09:48:39	]C24:i5.UNION-11 has gained a 'Açık Gri Kol Bandı' #8037.
[09:48:40	]C24:i5.UNION-11 used the 'Destek Masası Dağıtıcısı' vendor.
[09:48:45	]C24:i5.UNION-11 has gained 0 chips.
[09:48:45	]C24:i5.UNION-11 has gained a 'Kırmızı işbirlikçi kol bandı' #22481.
[09:48:53	][ME] C24:i5.UNION-11: Kırmızı kol bandını masaya bırakır
[09:48:56	]C24:i5.UNION-11 ran 'drop' on item 'Kırmızı işbirlikçi kol bandı' (#22481)
[09:48:56	]C24:i5.UNION-11 has lost a 'Kırmızı işbirlikçi kol bandı' #22481.
[09:49:02	][ME] John Freeman: kolbandını alıp takar
[09:49:03	]John Freeman ran 'take' on item 'Kırmızı işbirlikçi kol bandı' (#22481)
[09:49:03	]John Freeman has gained a 'Kırmızı işbirlikçi kol bandı' #22481.
[09:49:05	]John Freeman ran 'Equip' on item 'Kırmızı işbirlikçi kol bandı' (#22481)
[09:49:12	][IC] John Freeman: Saolun.
[09:49:18	][IC] C24:i5.UNION-11: <:: Bu şekilde devam ederseniz, İşbirlikçi partisine dahi gidebilirsiniz. ::>
[09:49:21	]C24:i5.UNION-11 used the 'Destek Masası Dağıtıcısı' vendor.
[09:49:23	]C24:i5.UNION-11 has gained 0 chips.
[09:49:24	]C24:i5.UNION-11 has gained 0 chips.
[09:49:29	][IC] John Freeman: Tamam.
[09:49:47	][LOOC] John Freeman: bro karakter değiştirip benim evde bişey yapakmı
[09:51:36	]C24:i5.UNION-11 has acquired his ration, gaining 0 credits, 0 wages and a civil_protection_ration ration.
[09:51:43	]C24:i5.UNION-11 ran 'Equip' on item 'Combine Filter' (#21730)
[09:51:50	]C24:i5.UNION-11 ran 'take' on item 'Sivil Koruma Rasyonu' (#22482)
[09:51:50	]C24:i5.UNION-11 has gained a 'Sivil Koruma Rasyonu' #22482.
[09:51:53	]C24:i5.UNION-11 ran 'Open' on item 'Sivil Koruma Rasyonu' (#22482)
[09:51:53	]C24:i5.UNION-11 has gained a 'Metropolice Takviyeleri' #22483.
[09:51:53	]C24:i5.UNION-11 has gained a 'Soda Bob Brawn' #22484.
[09:51:53	]C24:i5.UNION-11 has gained a '20 Kredi Kuponu' #22485.
[09:51:54	]C24:i5.UNION-11 ran 'Consume' on item 'Metropolice Takviyeleri' (#22483)
[09:51:54	]C24:i5.UNION-11 has wasted a level 3 long boost in Güç (current: 2; target: 3).
[09:52:00	]C24:i5.UNION-11 ran 'Use' on item '20 Kredi Kuponu' (#22485)
[09:52:04	]C24:i5.UNION-11 has used a coupon at a ration dispenser, gaining 20 credits.
[09:52:13	]C24:i5.UNION-11 used command '/Radio 10-8'.
[09:52:29	]C24:i5.UNION-11 has used a context menu option with the name: ixpropviewowner
[09:52:37	]C24:i5.UNION-11 used the 'Destek Masası Dağıtıcısı' vendor.
[09:52:45	]C24:i5.UNION-11 entered observer.
[09:52:47	]John Freeman ran 'Write' on item 'MENÜ:' (#19934)
[09:53:14	]C24:i5.UNION-11 has used a context menu option with the name: door_lockunlock
[09:53:20	]C24:i5.UNION-11 exited observer at their location.
[09:53:27	]C24:i5.UNION-11 entered observer.
[09:53:32	]C24:i5.UNION-11 exited observer at their location.
[09:55:46	]Victorian loaded the character 'Fikret Saric'
[09:55:50	]Fikret Saric entered observer.
[09:55:52	]Fikret Saric exited observer at their location.
[09:55:53	]Fikret Saric entered observer.
[09:55:53	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[09:55:54	]Fikret Saric exited observer at their location.
[09:55:55	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[09:56:15	]Fikret Saric used command '/ActSit 5'.
[09:56:30	]Fikret Saric used command '/ExitAct'.
[09:57:10	]Fikret Saric entered observer.
[09:57:14	]Fikret Saric has spawned 'models/props_c17/FurnitureTable003a.mdl'.
[09:57:21	]Fikret Saric has used a context menu option with the name: remove
[09:57:37	]Fikret Saric has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[09:57:38	]John Freeman was knocked unconscious and is bleeding out.
[09:57:44	]Fikret Saric exited observer at their location.
[09:57:56	][IC] John Freeman: RAAAAHHHH.
[09:57:56	]Fikret Saric used command '/CharStopBleedout John Freeman'.
[09:58:10	]Fikret Saric ran SAM command 'hp' with arguments: 'John' '100'
[09:58:10	]John Freeman is no longer unconscious from critical wounds.
[09:58:10	]John Freeman is fully healed.
[09:58:18	]Fikret Saric entered observer.
[09:58:24	]Fikret Saric has spawned 'models/props_wasteland/prison_shelf002a.mdl'.
[09:58:40	]Fikret Saric has spawned 'models/props_interiors/refrigerator01a.mdl'.
[10:01:58	]John Freeman ran 'take' on item 'Elektronik devreler' (#15739)
[10:01:58	]John Freeman has gained a 'Elektronik devreler' #15739.
[10:02:05	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[10:02:07	]John Freeman has transferred a 'Elektronik devreler' #15739 to a container with the name 'Medium File Cabinet' #2864.
[10:02:08	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[10:02:16	]Fikret Saric has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[10:02:57	]Fikret Saric has spawned a ahşap_masa.
[10:03:05	]Fikret Saric has used a context menu option with the name: remove
[10:03:16	]Fikret Saric has spawned 'models/props_combine/breendesk.mdl'.
[10:04:21	]Fikret Saric exited observer at their location.
[10:04:35	]Fikret Saric used command '/ActSit 4'.
[10:04:37	]Fikret Saric used command '/ExitAct'.
[10:04:41	]John Freeman used command '/ActSit 5'.
[10:04:44	]John Freeman used command '/ExitAct'.
[10:04:45	]Fikret Saric has spawned 'models/props_combine/breenbust.mdl'.
[10:04:46	]John Freeman used command '/ActSit 3'.
[10:04:47	]Fikret Saric has spawned 'models/props_combine/breenbust.mdl'.
[10:04:47	]John Freeman used command '/ExitAct'.
[10:04:49	]Fikret Saric has spawned 'models/props_combine/breenbust.mdl'.
[10:04:53	]John Freeman used command '/ActSit 7'.
[10:04:55	]John Freeman used command '/ExitAct'.
[10:04:56	]John Freeman used command '/ActSit 8'.
[10:04:57	]John Freeman used command '/ExitAct'.
[10:04:59	]John Freeman used command '/ActSit 6'.
[10:05:00	]John Freeman used command '/ExitAct'.
[10:05:01	]John Freeman used command '/ActSit 3'.
[10:05:02	]John Freeman used command '/ExitAct'.
[10:05:04	]John Freeman used command '/ActSit 2'.
[10:05:06	]John Freeman used command '/ExitAct'.
[10:05:07	]John Freeman used command '/ActSit 1'.
[10:05:10	]John Freeman used command '/ExitAct'.
[10:05:12	]John Freeman used command '/ActSit 4'.
[10:05:40	]Fikret Saric entered observer.
[10:05:44	]Fikret Saric has spawned 'models/props_combine/breendesk.mdl'.
[10:06:14	]Fikret Saric ran SAM command 'hp' with arguments: 'Fikret' '100'
[10:06:16	]Fikret Saric is fully healed.
[10:06:22	]Fikret Saric has spawned a drink_breen_water.
[10:06:24	]Fikret Saric ran 'take' on item 'Breen'in Suyu' (#22487)
[10:06:24	]Fikret Saric has gained a 'Breen'in Suyu' #22487.
[10:06:28	]Fikret Saric has spawned a drink_sparkling_water.
[10:06:29	]Fikret Saric ran 'take' on item 'Köpüklü Breen Suyu' (#22488)
[10:06:29	]Fikret Saric has gained a 'Köpüklü Breen Suyu' #22488.
[10:06:33	]Fikret Saric ran 'Consume' on item 'Köpüklü Breen Suyu' (#22488)
[10:06:33	]Fikret Saric has gained a 'Boş Breen'in Suyu' #22489.
[10:06:34	]Fikret Saric exited observer at their location.
[10:06:35	]John Freeman used command '/ExitAct'.
[10:06:50	]John Freeman used command '/ActSit 4'.
[10:08:00	]John Freeman used command '/ExitAct'.
[10:08:07	]Revain has connected.
[10:09:02	]Fikret Saric has spawned 'models/props_junk/garbage128_composite001c.mdl'.
[10:09:08	]Fikret Saric entered observer.
[10:09:09	]Fikret Saric exited observer at their location.
[10:09:14	]Fikret Saric entered observer.
[10:09:33	]Fikret Saric has spawned 'models/props_combine/breendesk.mdl'.
[10:09:41	]Fikret Saric has spawned 'models/props_combine/breendesk.mdl'.
[10:09:48	]Revain loaded the character 'Frank Dogan'
[10:09:49	]Fikret Saric exited observer at their location.
[10:09:56	]Frank Dogan entered observer.
[10:10:03	]Frank Dogan ran SAM command 'goto' with arguments: 'john'
[10:10:08	][IC] Frank Dogan: Ooc mi.
[10:10:09	]Fikret Saric entered observer.
[10:10:10	]Fikret Saric exited observer at their location.
[10:10:12	][IC] John Freeman: He.
[10:10:13	]Fikret Saric entered observer.
[10:10:13	]Frank Dogan exited observer at their location.
[10:10:14	]Fikret Saric exited observer at their location.
[10:10:15	]Frank Dogan entered observer.
[10:10:15	]Fikret Saric entered observer.
[10:10:16	]Frank Dogan exited observer at their location.
[10:10:16	]Fikret Saric exited observer at their location.
[10:10:17	]Fikret Saric entered observer.
[10:10:17	]Frank Dogan entered observer.
[10:10:18	]Frank Dogan exited observer at their location.
[10:10:18	]Fikret Saric exited observer at their location.
[10:10:26	]John Freeman used command '/ActSit 4'.
[10:10:27	][IC] Frank Dogan: Sen niye hala cmru dasın la.
[10:10:38	]Frank Dogan is admin-searching John Freeman's inventory.
[10:10:38	]Frank Dogan has used a context menu option with the name: ixviewinventory
[10:10:43	]John Freeman used command '/ExitAct'.
[10:10:48	]Frank Dogan has closed John Freeman's inventory.
[10:10:50	][IC] Frank Dogan: Yo attım seni.
[10:10:55	][IC] Frank Dogan: Attım.
[10:10:57	][IC] Frank Dogan: Smab lideriyim.
[10:11:00	][IC] Frank Dogan: Hayırdır lan.
[10:11:02	]Frank Dogan ran 'EquipUn' on item 'Fire Axe' (#22020)
[10:11:03	]Frank Dogan ran 'Equip' on item 'Fire Axe' (#22020)
[10:11:11	]Frank Dogan ran 'EquipUn' on item 'Fire Axe' (#22020)
[10:11:13	]Frank Dogan entered observer.
[10:11:17	]Fikret Saric opened the 'Refrigerator' #2531 container.
[10:11:20	]Fikret Saric closed the 'Refrigerator' #2531 container.
[10:11:26	]Fikret Saric opened the 'Refrigerator' #2531 container.
[10:11:27	]Frank Dogan is admin-searching John Freeman's inventory.
[10:11:27	]Frank Dogan has used a context menu option with the name: ixviewinventory
[10:11:33	]Frank Dogan has gained a 'CMRU Level 1 Access Keycard' #18122 from a container with the name 'John Freeman's inventory' #1378.
[10:11:34	]Frank Dogan has gained a 'CMRU PDA' #18120 from a container with the name 'John Freeman's inventory' #1378.
[10:11:40	]Frank Dogan has gained a 'CMRU Radio' #18121 from a container with the name 'John Freeman's inventory' #1378.
[10:11:42	]Fikret Saric closed the 'Refrigerator' #2531 container.
[10:11:48	]Frank Dogan has closed John Freeman's inventory.
[10:12:15	]John Freeman opened the 'Refrigerator' #2531 container.
[10:12:16	]Frank Dogan ran 'drop' on item 'CMRU Level 1 Access Keycard' (#18122)
[10:12:16	]Frank Dogan has lost a 'CMRU Level 1 Access Keycard' #18122.
[10:12:17	]John Freeman closed the 'Refrigerator' #2531 container.
[10:12:18	]Frank Dogan ran 'drop' on item 'CMRU PDA' (#18120)
[10:12:18	]Frank Dogan has lost a 'CMRU PDA' #18120.
[10:12:26	]Frank Dogan has used a context menu option with the name: rb655_dissolve
[10:12:28	]env_entity_dissolver destroyed a 'CMRU PDA' #18120.
[10:12:30	]Frank Dogan has used a context menu option with the name: rb655_dissolve
[10:12:32	]env_entity_dissolver destroyed a 'CMRU Level 1 Access Keycard' #18122.
[10:12:36	]Frank Dogan ran 'drop' on item 'CMRU Radio' (#18121)
[10:12:36	]Frank Dogan has lost a 'CMRU Radio' #18121.
[10:12:39	]Frank Dogan has used a context menu option with the name: rb655_dissolve
[10:12:41	]env_entity_dissolver destroyed a 'CMRU Radio' #18121.
[10:13:00	]Frank Dogan used command '/PlyUnwhitelist Freeman Medical'.
[10:13:02	]Victorian loaded the character 'Marjane Satrapi'
[10:13:06	]Marjane Satrapi entered observer.
[10:13:10	]Frank Dogan used command '/PlyTransfer freeman citizen'.
[10:13:16	]Marjane Satrapi exited observer at their location.
[10:13:33	]John Freeman ran 'take' on item 'Ham Sülük Karkası' (#21221)
[10:13:33	]John Freeman has gained a 'Ham Sülük Karkası' #21221.
[10:13:34	]Frank Dogan is admin-searching John Freeman's inventory.
[10:13:34	]Frank Dogan has used a context menu option with the name: ixviewinventory
[10:13:36	]John Freeman ran 'Consume' on item 'Ham Sülük Karkası' (#21221)
[10:13:39	]John Freeman ran 'drop' on item 'Ham Sülük Karkası' (#21221)
[10:13:39	]John Freeman has lost a 'Ham Sülük Karkası' #21221.
[10:13:42	]Frank Dogan has closed John Freeman's inventory.
[10:13:53	]Marjane Satrapi entered observer.
[10:13:58	]Frank Dogan exited observer at their location.
[10:13:58	]Frank Dogan entered observer.
[10:13:59	]Frank Dogan exited observer at their location.
[10:14:04	]John Freeman ran 'take' on item 'Water Bottle' (#18416)
[10:14:04	]John Freeman has gained a 'Water Bottle' #18416.
[10:14:11	]Revain loaded the character 'Revain On Duty'
[10:14:12	]John Freeman ran 'take' on item 'Water Bottle' (#21151)
[10:14:12	]John Freeman has gained a 'Water Bottle' #21151.
[10:14:12	]Revain On Duty entered observer.
[10:14:13	]John Freeman ran 'take' on item 'Water Bottle' (#18417)
[10:14:13	]John Freeman has gained a 'Water Bottle' #18417.
[10:14:17	]John Freeman ran 'take' on item 'Ham Sülük Karkası' (#21221)
[10:14:17	]John Freeman has gained a 'Ham Sülük Karkası' #21221.
[10:14:18	]John Freeman ran 'take' on item 'Water Bottle' (#21150)
[10:14:18	]John Freeman has gained a 'Water Bottle' #21150.
[10:14:20	]John Freeman opened the 'Refrigerator' #2531 container.
[10:14:23	]John Freeman has transferred a 'Water Bottle' #21151 to a container with the name 'Refrigerator' #2531.
[10:14:24	]John Freeman has transferred a 'Water Bottle' #18416 to a container with the name 'Refrigerator' #2531.
[10:14:24	]Revain On Duty ran 'Equip' on item 'Bavul' (#19745)
[10:14:25	]John Freeman has transferred a 'Water Bottle' #21150 to a container with the name 'Refrigerator' #2531.
[10:14:26	]Revain On Duty ran 'EquipUn' on item 'Bavul' (#19745)
[10:14:27	]John Freeman has transferred a 'Water Bottle' #18417 to a container with the name 'Refrigerator' #2531.
[10:14:28	]John Freeman has transferred a 'Ham Sülük Karkası' #21221 to a container with the name 'Refrigerator' #2531.
[10:14:29	]John Freeman closed the 'Refrigerator' #2531 container.
