[12:56:08	]Chogacz has connected.
[19:23:28	]C17:RCT.YELLO-59 has hit npc_antlion_schizo_drone dealing 12 damage (CritChance was 0.86).
[19:23:29	]C17:RCT.YELLO-59 has critically hit npc_antlion_schizo_drone dealing 19 damage (CritChance was 0.86).
[19:23:30	]C17:RCT.YELLO-59 has critically hit npc_antlion_schizo_drone dealing 19 damage (CritChance was 0.86).
[19:23:43	]C17:RCT.YELLO-59 has spawned a 'NPC [535][npc_vj_toxiczombie]'.
[19:23:47	]C17:RCT.YELLO-59 has critically hit npc_vj_toxiczombie in the chest dealing 19 damage (CritChance was 0.86).
[19:23:48	]C17:RCT.YELLO-59 has critically hit npc_vj_toxiczombie in the chest dealing 19 damage (CritChance was 0.86).
[19:23:48	]C17:RCT.YELLO-59 has critically hit npc_vj_toxiczombie in the chest dealing 19 damage (CritChance was 0.86).
[19:23:48	]C17:RCT.YELLO-59 has critically hit npc_vj_toxiczombie in the chest dealing 19 damage (CritChance was 0.86).
[19:24:00	]C17:RCT.YELLO-59 entered observer.
[19:24:03	]C17:RCT.YELLO-59 exited observer at their location.
[19:24:03	]C17:RCT.YELLO-59 entered observer.
[19:24:29	]Recik has connected.
[19:24:32	]C17:RCT.YELLO-59 exited observer at their location.
[19:24:54	]C17:RCT.YELLO-59 has spawned a 'NPC [545][npc_vj_zombiegrenade]'.
[19:24:57	]C17:RCT.YELLO-59 has taken 10 damage from Grenade Zombie.
[19:24:59	]C17:RCT.YELLO-59 has critically hit npc_vj_zombiegrenade in the head dealing 21 damage (CritChance was 0.86).
[19:25:00	]C17:RCT.YELLO-59 has hit npc_vj_zombiegrenade in the head dealing 0 damage (CritChance was 0.86).
[19:25:00	]C17:RCT.YELLO-59 has critically hit npc_vj_zombiegrenade in the head dealing 21 damage (CritChance was 0.86).
[19:25:00	]C17:RCT.YELLO-59 has critically hit npc_vj_zombiegrenade in the head dealing 21 damage (CritChance was 0.86).
[19:25:00	]C17:RCT.YELLO-59 is fully healed.
[19:25:04	]C17:RCT.YELLO-59 has spawned a 'NPC [545][npc_vj_zombiemultilated]'.
[19:25:06	]C17:RCT.YELLO-59 has hit npc_vj_zombiemultilated in the head dealing 10 damage (CritChance was 0.86).
[19:25:07	]C17:RCT.YELLO-59 has hit npc_vj_zombiemultilated in the head dealing 10 damage (CritChance was 0.86).
[19:25:08	]C17:RCT.YELLO-59 has critically hit npc_vj_zombiemultilated in the chest dealing 19 damage (CritChance was 0.86).
[19:25:08	]C17:RCT.YELLO-59 has critically hit npc_vj_zombiemultilated in the head dealing 21 damage (CritChance was 0.86).
[19:25:13	]C17:RCT.YELLO-59 has spawned a 'NPC [545][npc_vj_zombieflame]'.
[19:25:14	]C17:RCT.YELLO-59 has hit npc_vj_zombieflame in the chest dealing 12 damage (CritChance was 0.86).
[19:25:15	]C17:RCT.YELLO-59 has critically hit npc_vj_zombieflame in the chest dealing 19 damage (CritChance was 0.86).
[19:25:55	]C17:RCT.YELLO-59 entered observer.
[19:26:17	]C17:RCT.YELLO-59 exited observer at their location.
[19:26:21	]C17:RCT.YELLO-59 has spawned a 'NPC [545][npc_vj_zomnarch]'.
[19:26:24	]C17:RCT.YELLO-59 entered observer.
[19:27:08	]C17:RCT.YELLO-59 exited observer at their location.
[19:27:15	]C17:RCT.YELLO-59 entered observer.
[19:27:34	]tomasz hedzik has connected.
[19:28:07	]Inkaaz has connected.
[19:28:08	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:28:08	]C17:RCT.YELLO-59 has spawned 'models/lamarr.mdl'.
[19:28:08	]C17:RCT.YELLO-59 has spawned 'models/headcrabclassic.mdl'.
[19:28:08	]C17:RCT.YELLO-59 has spawned 'models/headcrabclassic.mdl'.
[19:28:08	]C17:RCT.YELLO-59 has spawned 'models/props_interiors/furniture_couch01a.mdl'.
[19:28:08	]C17:RCT.YELLO-59 has spawned 'models/humans/charple01.mdl'.
[19:28:20	]tomasz hedzik loaded the character 'Austin Adamczyk'
[19:28:27	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs_spine.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/props_junk/shoe001a.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs_rib.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs_scapula.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs_rib.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs_rib.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs_spine.mdl'.
[19:28:27	]C17:RCT.YELLO-59 has spawned 'models/gibs/hgibs_rib.mdl'.
[19:28:42	]Recik loaded the character 'John Veles'
[19:28:47	]John Veles is fully healed.
[19:28:47	]John Veles entered observer.
[19:28:49	]Austin Adamczyk has given himself a cca_coat_heartwick.
[19:28:49	]Austin Adamczyk has gained a 'Płaszcz 'Szafir'' #932.
[19:28:54	]John Veles has used a context menu option with the name: remove
[19:28:58	]Inkaaz loaded the character 'Takajin Amano'
[19:29:01	]John Veles exited observer at their location.
[19:29:02	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:29:02	]C17:RCT.YELLO-59 has spawned 'models/hunter/blocks/cube1x150x1.mdl'.
[19:29:02	]C17:RCT.YELLO-59 has spawned 'models/player/lantern/ruspolice_npc.mdl'.
[19:29:02	]C17:RCT.YELLO-59 has spawned 'models/vj_weapons/w_csgo_ak47.mdl'.
[19:29:03	]Takajin Amano is fully healed.
[19:29:06	]Austin Adamczyk has given himself a cca_legs_diplomat.
[19:29:06	]Austin Adamczyk has gained a 'Spodnie 'Dyplomata'' #933.
[19:29:14	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:29:14	]C17:RCT.YELLO-59 has spawned 'models/props_junk/garbage_glassbottle001a.mdl'.
[19:29:14	]C17:RCT.YELLO-59 has spawned 'models/props_junk/garbage_glassbottle001a.mdl'.
[19:29:14	]C17:RCT.YELLO-59 has spawned 'models/zombie/fast.mdl'.
[19:29:14	]Austin Adamczyk has given himself a cca_legs_authoritarian.
[19:29:14	]Austin Adamczyk has gained a 'Spodnie 'Autorytet'' #934.
[19:29:28	]John Veles ran 'drop' on item 'Papieros' (#732)
[19:29:28	]John Veles has lost a 'Papieros' #732.
[19:29:31	]John Veles has used a context menu option with the name: remove
[19:29:32	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_lab/huladoll.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_lab/cactus.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_c17/computer01_keyboard.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_office/computer_mouse01.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/gm_museum/cup.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_lab/desklamp01.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_combine/breendesk.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_lab/monitor01a.mdl'.
[19:29:32	]C17:RCT.YELLO-59 has spawned 'models/props_lab/harddrive02.mdl'.
[19:29:35	]John Veles ran 'smoke' on item 'Papieros' (#731)
[19:29:36	]Austin Adamczyk has given himself a shoes_grey.
[19:29:36	]Austin Adamczyk has gained a 'Szare buty' #935.
[19:29:36	]John Veles ran 'light' on item 'Zapalniczka Zippo' (#739)
[19:29:38	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:29:38	]C17:RCT.YELLO-59 has spawned 'models/gman_high.mdl'.
[19:29:44	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:29:44	]C17:RCT.YELLO-59 has spawned 'models/props_combine/combine_fence01a.mdl'.
[19:29:44	]C17:RCT.YELLO-59 has spawned 'models/hunter/plates/plate4x5.mdl'.
[19:29:44	]C17:RCT.YELLO-59 has spawned 'models/props_combine/combine_fence01b.mdl'.
[19:29:48	][IC] John Veles: Hej.
[19:29:50	][IC] Austin Adamczyk: Hej.
[19:29:51	][IC] John Veles: Hej.
[19:29:53	][IC] Austin Adamczyk: Hej.
[19:29:57	]Takajin Amano has spawned a kitknife.
[19:29:58	]Takajin Amano has spawned a kitknife.
[19:30:00	]Takajin Amano ran 'take' on item 'Nóż kuchenny' (#937)
[19:30:03	]Takajin Amano has used a context menu option with the name: rb655_dissolve
[19:30:05	]env_entity_dissolver destroyed a 'Nóż kuchenny' #936.
[19:30:05	][IC] John Veles: Strider!
[19:30:09	]Takajin Amano ran 'drop' on item 'Wzmocnione czarne spodnie' (#873)
[19:30:09	]Takajin Amano has lost a 'Wzmocnione czarne spodnie' #873.
[19:30:10	][IC] John Veles: Strider!
[19:30:11	]Takajin Amano has used a context menu option with the name: rb655_dissolve
[19:30:13	]env_entity_dissolver destroyed a 'Wzmocnione czarne spodnie' #873.
[19:30:15	]Takajin Amano ran 'take' on item 'Nóż kuchenny' (#937)
[19:30:15	]Takajin Amano has gained a 'Nóż kuchenny' #937.
[19:30:18	]Takajin Amano ran 'Equip' on item 'Nóż kuchenny' (#937)
[19:30:26	]John Veles ran SAM command 'slay' with arguments: 'adamczyk'
[19:30:33	]John Veles has used a context menu option with the name: remove
[19:30:34	]John Veles entered observer.
[19:30:41	]John Veles exited observer at their location.
[19:31:13	]Austin Adamczyk has given himself a beard_razor.
[19:31:13	]Austin Adamczyk has gained a 'Hairdresser tools' #938.
[19:31:15	]John Veles ran 'drop' on item 'Zapalniczka Zippo' (#739)
[19:31:15	]John Veles has lost a 'Zapalniczka Zippo' #739.
[19:31:16	]Austin Adamczyk ran 'Style' on item 'Hairdresser tools' (#938)
[19:31:20	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furnituretable002a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furnituretable002a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/breen.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/player/items/humans/graduation_cap.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/lamarr.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_interiors/pot02a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/props_c17/metalpot001a.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/monk.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/player/items/humans/top_hat.mdl'.
[19:31:20	]C17:RCT.YELLO-59 has spawned 'models/gman_high.mdl'.
[19:31:21	]John Veles entered observer.
[19:31:23	]C17:RCT.YELLO-59 has fired a toolgun with the name: duplicator
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furniturechair001a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furnituretable002a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_c17/furnituretable002a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/breen.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/player/items/humans/graduation_cap.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/lamarr.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_interiors/pot02a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/props_c17/metalpot001a.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/monk.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/player/items/humans/top_hat.mdl'.
[19:31:23	]C17:RCT.YELLO-59 has spawned 'models/gman_high.mdl'.
[19:31:28	]Austin Adamczyk ran 'drop' on item 'Biała fedora' (#921)
[19:31:28	]Austin Adamczyk has lost a 'Biała fedora' #921.
[19:31:29	]Austin Adamczyk ran 'drop' on item 'Hairdresser tools' (#938)
[19:31:29	]Austin Adamczyk has lost a 'Hairdresser tools' #938.
[19:31:33	]John Veles exited observer at their location.
[19:31:33	]Austin Adamczyk has given himself a beard_razor.
[19:31:33	]Austin Adamczyk has gained a 'Hairdresser tools' #939.
[19:31:35	]Austin Adamczyk ran 'Style2' on item 'Hairdresser tools' (#939)
[19:31:36	]Austin Adamczyk ran 'Style' on item 'Hairdresser tools' (#939)
[19:32:18	]Austin Adamczyk ran 'take' on item 'Biała fedora' (#921)
[19:32:18	]Austin Adamczyk has gained a 'Biała fedora' #921.
[19:32:19	]Austin Adamczyk ran 'take' on item 'Hairdresser tools' (#938)
[19:32:19	]Austin Adamczyk has gained a 'Hairdresser tools' #938.
[19:32:29	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 3'.
[19:32:32	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 2'.
[19:32:35	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 1'.
[19:32:38	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 4'.
[19:32:40	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 5'.
[19:32:47	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 6'.
[19:32:49	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 7'.
[19:32:52	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 8'.
[19:32:58	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 2'.
[19:33:02	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 1'.
[19:33:05	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 3'.
[19:33:08	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 2'.
[19:33:11	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 3'.
[19:33:19	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 4'.
[19:33:24	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 5'.
[19:33:25	]C17:RCT.YELLO-59 used command '/CharSetBodygroup austin beard 2'.
[19:33:30	]C17:RCT.YELLO-59 exited observer at their location.
[19:33:40	]Austin Adamczyk is admin-searching C17:RCT.YELLO-59's inventory.
[19:33:40	]Austin Adamczyk has used a context menu option with the name: ixviewinventory
[19:33:43	]Austin Adamczyk has closed C17:RCT.YELLO-59's inventory.
[19:33:52	][IC] C17:RCT.YELLO-59: Padnij!
[19:33:55	][IC] John Veles: Kombinat!
[19:33:56	]Austin Adamczyk has spawned a 'Entity [592][ix_trashspawner]'.
[19:33:58	]Austin Adamczyk has spawned a 'Entity [594][ix_trashspawner]'.
[19:33:59	]Austin Adamczyk has spawned a 'Entity [595][ix_trashcollector]'.
[19:33:59	][IC] C17:RCT.YELLO-59: Padnij!
[19:34:01	]Austin Adamczyk has spawned a 'Entity [599][ix_garbage]'.
[19:34:08	][IC] John Veles: Nie mogą zobaczyć, że z tobą rozmawiam... Przynajmniej nie tutaj.
[19:34:22	]Austin Adamczyk has spawned a 'Entity [538][sent_ball]'.
[19:34:24	][IC] C17:RCT.YELLO-59: Zamknij się.
[19:34:29	][IC] John Veles: Nigdy nie zrobią ze mnie stalkera!
[19:34:30	]Austin Adamczyk has spawned a 'Entity [538][sent_ball]'.
[19:34:31	]Austin Adamczyk has spawned a 'Entity [556][sent_ball]'.
[19:34:40	][IC] C17:RCT.YELLO-59: Lepiej tego nie dało się ująć.
[19:34:45	]Austin Adamczyk has spawned a trash_bin.
[19:34:50	][IC] John Veles: Ruszajmy! Musimy uciekać, zanim nas namierzą!
[19:34:51	][IC] C17:RCT.YELLO-59: Nie wiem jak ty, ale ja jestem gotów przyłączyć się do Civil Protection tylko po to, żeby dostać przyzwoity posiłek.
[19:35:03	]C17:RCT.YELLO-59 ran 'drop' on item 'Maska CP' (#927)
[19:35:03	]C17:RCT.YELLO-59 has lost a 'Maska CP' #927.
[19:35:06	]Austin Adamczyk has spawned a small_trash_bin.
[19:35:06	]C17:RCT.YELLO-59 ran 'take' on item 'Maska CP' (#927)
[19:35:06	]C17:RCT.YELLO-59 has gained a 'Maska CP' #927.
[19:35:08	]Austin Adamczyk ran 'take' on item 'Small Trash Bin' (#941)
[19:35:08	]Austin Adamczyk has gained a 'Small Trash Bin' #941.
[19:35:10	]Austin Adamczyk ran 'Place' on item 'Small Trash Bin' (#941)
[19:35:22	]C17:RCT.YELLO-59 has given himself a flashlight.
[19:35:22	]C17:RCT.YELLO-59 has gained a 'Flashlight' #942.
[19:35:28	]John Veles entered observer.
[19:35:30	]C17:RCT.YELLO-59 entered observer.
[19:35:31	]John Veles has used a context menu option with the name: remove
[19:35:35	]John Veles exited observer at their location.
[19:35:38	]C17:RCT.YELLO-59 exited observer at their location.
[19:35:50	]Austin Adamczyk ran 'Place' on item 'Small Trash Bin' (#941)
[19:35:52	]Takajin Amano has spawned a mp5a3.
[19:35:53	]Takajin Amano entered observer.
[19:35:54	]Takajin Amano exited observer at their location.
[19:35:55	]Takajin Amano ran 'take' on item 'MP5A3' (#943)
[19:36:00	]Takajin Amano ran 'take' on item 'MP5A3' (#943)
[19:36:03	]Takajin Amano has used a context menu option with the name: rb655_dissolve
[19:36:05	]env_entity_dissolver destroyed a 'MP5A3' #943.
[19:36:05	]John Veles has spawned a small_trash_bin.
[19:36:06	]Austin Adamczyk ran 'drop' on item 'Small Trash Bin' (#941)
[19:36:06	]Austin Adamczyk has lost a 'Small Trash Bin' #941.
[19:36:08	]John Veles ran 'take' on item 'Small Trash Bin' (#944)
[19:36:08	]John Veles has gained a 'Small Trash Bin' #944.
[19:36:08	]Austin Adamczyk ran 'take' on item 'Small Trash Bin' (#941)
[19:36:08	]Austin Adamczyk has gained a 'Small Trash Bin' #941.
[19:36:12	]Austin Adamczyk ran 'drop' on item 'Small Trash Bin' (#941)
[19:36:12	]Austin Adamczyk has lost a 'Small Trash Bin' #941.
[19:36:14	]Austin Adamczyk ran 'drop' on item 'Używane czarne buty' (#917)
[19:36:14	]Austin Adamczyk has lost a 'Używane czarne buty' #917.
[19:36:15	]John Veles ran 'Place' on item 'Small Trash Bin' (#944)
[19:36:15	]Takajin Amano ran 'EquipUn' on item 'Nóż kuchenny' (#937)
[19:36:16	]Austin Adamczyk ran 'Style2' on item 'Hairdresser tools' (#939)
[19:36:17	]Austin Adamczyk ran 'drop' on item 'Hairdresser tools' (#939)
[19:36:17	]Austin Adamczyk has lost a 'Hairdresser tools' #939.
[19:36:17	]C17:RCT.YELLO-59 has spawned a expo_tankshell.
[19:36:18	]Austin Adamczyk ran 'drop' on item 'Brązowe luźne spodnie' (#916)
[19:36:18	]Austin Adamczyk has lost a 'Brązowe luźne spodnie' #916.
[19:36:18	]Austin Adamczyk ran 'drop' on item 'Spodnie 'Dyplomata'' (#933)
[19:36:18	]Austin Adamczyk has lost a 'Spodnie 'Dyplomata'' #933.
